rollno,name,sci,eng,math,nep,total
1,Anisha Bhandari,78,76,,72,279
2,Gita Bhattarai,91,,62,,
3,,,46,99,,307
4,Pramila Maharjan,54,60,96,62,272
5,Krishna Shrestha,82,48,79,63,272
6,Aayush Maharjan,47,78,60,,
7,Roshan Pokharel,60,57,,74,246
8,Ritika Bhattarai,78,43,,83,288
9,,97,64,57,,297
10,Sita Maharjan,58,99,86,61,304
11,Shyam Tamang,62,,,66,273
12,,50,89,63,74,276
13,Sunita Yadav,,97,65,40,252
14,Sunita Raut,63,48,64,74,249
15,Nirajan Thapa,92,65,99,76,332
16,Ritika Gurung,75,92,99,86,352
17,,79,41,,53,272
18,Sagar Sharma,63,59,84,42,248
19,Aayush Shrestha,42,67,80,,229
20,Nisha Rai,61,86,68,44,259
21,Arjun KC,72,73,77,, 
22,Bina Chaudhary,81,68,,49,234
23,Ram Bhandari,56,52,96,47,251
24,Lokesh Basnet,88,62,92,74,316
25,Ramesh Giri,69,70,,64, 
26,Kiran Thapa,64,,54,79,197
27,Pratima Nepal,46,77,73,60,256
28,Deepa Raut,,84,47,42, 
29,Gita Magar,91,55,92,75,313
30,Krishna Pokharel,50,58,,65,173
31,Sujan Tamang,60,47,86,78,271
32,Rajendra Ghale,57,,64,66, 
33,Shyam Limbu,61,74,93,63,291
34,Meena Shrestha,80,88,,74, 
35,Rita Bista,70,71,64,51,256
36,Anup Pandey,64,64,95,80,303
37,Nisha Pokharel,55,73,,77, 
38,Prakash Roka,79,,72,68,219
39,Rekha Guragain,63,61,89,69,282
40,Bibek Maharjan,49,92,,41, 
41,Sanjay KC,65,72,68,66,271
42,Sabin Magar,88,56,96,71,311
43,Manish Acharya,44,,81,73,198
44,Sunita Koirala,74,59,77,65,275
45,Arjun Bhattarai,69,61,82,, 
46,Roshan Pokharel,77,79,64,59,279
47,Mina Bhandari,90,63,88,71,312
48,Sanjana Limbu,66,,53,70,
49,Binod Par,79,,,
